"ref_range_id","chrom","range_start","range_end","name"
217,"1",4359540,4370483,"FocusComplement"
218,"1",4370484,4378831,"FocusRegion"
219,"1",4378832,4447852,"FocusComplement"
220,"1",4447853,4452527,"FocusRegion"
221,"1",4452528,4480633,"FocusComplement"
222,"1",4480634,4487953,"FocusRegion"
223,"1",4487954,4489655,"FocusComplement"
224,"1",4489656,4491331,"FocusRegion"
225,"1",4491332,4613828,"FocusComplement"
226,"1",4613829,4616572,"FocusRegion"
227,"1",4616573,4672209,"FocusComplement"
228,"1",4672210,4675614,"FocusRegion"
229,"1",4675615,4678240,"FocusComplement"
230,"1",4678241,4689963,"FocusRegion"
231,"1",4689964,4786100,"FocusComplement"
232,"1",4786101,4791613,"FocusRegion"
233,"1",4791614,4792492,"FocusComplement"
234,"1",4792493,4796120,"FocusRegion"
235,"1",4796121,4844237,"FocusComplement"
236,"1",4844238,4848250,"FocusRegion"
237,"1",4848251,4854127,"FocusComplement"
238,"1",4854128,4856665,"FocusRegion"
239,"1",4856666,4860146,"FocusComplement"
240,"1",4860147,4868040,"FocusRegion"
241,"1",4868041,4903162,"FocusComplement"
242,"1",4903163,4904730,"FocusRegion"
243,"1",4904731,4932247,"FocusComplement"
244,"1",4932248,4948340,"FocusRegion"
245,"1",4948341,5048744,"FocusComplement"
246,"1",5048745,5051733,"FocusRegion"
247,"1",5051734,5055288,"FocusComplement"
248,"1",5055289,5057805,"FocusRegion"
249,"1",5057806,5060151,"FocusComplement"
250,"1",5060152,5061950,"FocusRegion"
251,"1",5061951,5064532,"FocusComplement"
252,"1",5064533,5070054,"FocusRegion"
253,"1",5070055,5076498,"FocusComplement"
254,"1",5076499,5081101,"FocusRegion"
255,"1",5081102,5095229,"FocusComplement"
256,"1",5095230,5097193,"FocusRegion"
257,"1",5097194,5112319,"FocusComplement"
258,"1",5112320,5115233,"FocusRegion"
259,"1",5115234,5156078,"FocusComplement"
260,"1",5156079,5161908,"FocusRegion"
261,"1",5161909,5281431,"FocusComplement"
262,"1",5281432,5285006,"FocusRegion"
263,"1",5285007,5365241,"FocusComplement"
264,"1",5365242,5367385,"FocusRegion"
265,"1",5367386,5376195,"FocusComplement"
266,"1",5376196,5377536,"FocusRegion"
267,"1",5377537,5384579,"FocusComplement"
268,"1",5384580,5389230,"FocusRegion"
269,"1",5389231,5423773,"FocusComplement"
270,"1",5423774,5431320,"FocusRegion"
271,"1",5431321,5434422,"FocusComplement"
272,"1",5434423,5440930,"FocusRegion"
273,"1",5440931,5444639,"FocusComplement"
274,"1",5444640,5448668,"FocusRegion"
275,"1",5448669,5449945,"FocusComplement"
276,"1",5449946,5454011,"FocusRegion"
277,"1",5454012,5471780,"FocusComplement"
278,"1",5471781,5493877,"FocusRegion"
279,"1",5493878,5542958,"FocusComplement"
280,"1",5542959,5544109,"FocusRegion"
281,"1",5544110,5563657,"FocusComplement"
282,"1",5563658,5568308,"FocusRegion"
283,"1",5568309,5615011,"FocusComplement"
284,"1",5615012,5616448,"FocusRegion"
285,"1",5616449,5651776,"FocusComplement"
286,"1",5651777,5652845,"FocusRegion"
287,"1",5652846,5655020,"FocusComplement"
288,"1",5655021,5657414,"FocusRegion"
289,"1",5657415,5659148,"FocusComplement"
290,"1",5659149,5666171,"FocusRegion"
291,"1",5666172,5743583,"FocusComplement"
292,"1",5743584,5766324,"FocusRegion"
293,"1",5766325,5769995,"FocusComplement"
294,"1",5769996,5778595,"FocusRegion"
295,"1",5778596,5836551,"FocusComplement"
296,"1",5836552,5841719,"FocusRegion"
297,"1",5841720,5847053,"FocusComplement"
298,"1",5847054,5859789,"FocusRegion"
299,"1",5859790,5897029,"FocusComplement"
300,"1",5897030,5900917,"FocusRegion"
301,"1",5900918,5974072,"FocusComplement"
302,"1",5974073,5976558,"FocusRegion"
303,"1",5976559,5987620,"FocusComplement"
304,"1",5987621,5991591,"FocusRegion"
305,"1",5991592,6021570,"FocusComplement"
306,"1",6021571,6114922,"FocusRegion"
307,"1",6114923,6200060,"FocusComplement"
308,"1",6200061,6204667,"FocusRegion"
309,"1",6204668,6223599,"FocusComplement"
310,"1",6223600,6230600,"FocusRegion"
311,"1",6230601,6243870,"FocusComplement"
312,"1",6243871,6247902,"FocusRegion"
313,"1",6247903,6249499,"FocusComplement"
314,"1",6249500,6254299,"FocusRegion"
315,"1",6254300,6260933,"FocusComplement"
316,"1",6260934,6267523,"FocusRegion"
317,"1",6267524,6272462,"FocusComplement"
318,"1",6272463,6282114,"FocusRegion"
319,"1",6282115,6360196,"FocusComplement"
320,"1",6360197,6362989,"FocusRegion"
321,"1",6362990,6365239,"FocusComplement"
322,"1",6365240,6365762,"FocusRegion"
323,"1",6365763,6372482,"FocusComplement"
324,"1",6372483,6375552,"FocusRegion"
325,"1",6375553,6380104,"FocusComplement"
326,"1",6380105,6384420,"FocusRegion"
327,"1",6384421,6477432,"FocusComplement"
328,"1",6477433,6482618,"FocusRegion"
329,"1",6482619,6492734,"FocusComplement"
330,"1",6492735,6496230,"FocusRegion"
331,"1",6496231,6515052,"FocusComplement"
332,"1",6515053,6516195,"FocusRegion"
333,"1",6516196,6724574,"FocusComplement"
334,"1",6724575,6726661,"FocusRegion"
335,"1",6726662,6750998,"FocusComplement"
336,"1",6750999,6751362,"FocusRegion"
337,"1",6751363,6774196,"FocusComplement"
338,"1",6774197,6776053,"FocusRegion"
339,"1",6776054,6778850,"FocusComplement"
340,"1",6778851,6782130,"FocusRegion"
341,"1",6782131,6782671,"FocusComplement"
342,"1",6782672,6793725,"FocusRegion"
343,"1",6793726,6860586,"FocusComplement"
344,"1",6860587,6865501,"FocusRegion"
345,"1",6865502,6868156,"FocusComplement"
346,"1",6868157,6871764,"FocusRegion"
347,"1",6871765,6981386,"FocusComplement"
348,"1",6981387,6987213,"FocusRegion"
349,"1",6987214,7017010,"FocusComplement"
350,"1",7017011,7021170,"FocusRegion"
351,"1",7021171,7025418,"FocusComplement"
352,"1",7025419,7033202,"FocusRegion"
353,"1",7033203,7097392,"FocusComplement"
354,"1",7097393,7099916,"FocusRegion"
355,"1",7099917,7101388,"FocusComplement"
356,"1",7101389,7105705,"FocusRegion"
357,"1",7105706,7130512,"FocusComplement"
358,"1",7130513,7136524,"FocusRegion"
359,"1",7136525,7181044,"FocusComplement"
360,"1",7181045,7201561,"FocusRegion"
361,"1",7201562,7235105,"FocusComplement"
362,"1",7235106,7239558,"FocusRegion"
363,"1",7239559,7240403,"FocusComplement"
364,"1",7240404,7243288,"FocusRegion"
365,"1",7243289,7282396,"FocusComplement"
366,"1",7282397,7288752,"FocusRegion"
367,"1",7288753,7298971,"FocusComplement"
368,"1",7298972,7300989,"FocusRegion"
369,"1",7300990,7329668,"FocusComplement"
370,"1",7329669,7331727,"FocusRegion"
371,"1",7331728,7337513,"FocusComplement"
372,"1",7337514,7342201,"FocusRegion"
373,"1",7342202,7344152,"FocusComplement"
374,"1",7344153,7348877,"FocusRegion"
375,"1",7348878,7399950,"FocusComplement"
376,"1",7399951,7402416,"FocusRegion"
377,"1",7402417,7432852,"FocusComplement"
378,"1",7432853,7434882,"FocusRegion"
379,"1",7434883,7501226,"FocusComplement"
380,"1",7501227,7506747,"FocusRegion"
381,"1",7506748,7506983,"FocusComplement"
382,"1",7506984,7511704,"FocusRegion"
383,"1",7511705,7540588,"FocusComplement"
384,"1",7540589,7545110,"FocusRegion"
385,"1",7545111,7638620,"FocusComplement"
386,"1",7638621,7653175,"FocusRegion"
387,"1",7653176,7662615,"FocusComplement"
388,"1",7662616,7663179,"FocusRegion"
389,"1",7663180,7666034,"FocusComplement"
390,"1",7666035,7668601,"FocusRegion"
391,"1",7668602,7779714,"FocusComplement"
392,"1",7779715,7781456,"FocusRegion"
393,"1",7781457,7813647,"FocusComplement"
394,"1",7813648,7815428,"FocusRegion"
395,"1",7815429,7817538,"FocusComplement"
396,"1",7817539,7818734,"FocusRegion"
397,"1",7818735,7820675,"FocusComplement"
398,"1",7820676,7822238,"FocusRegion"
399,"1",7822239,7915950,"FocusComplement"
400,"1",7915951,7926608,"FocusRegion"
401,"1",7926609,7953029,"FocusComplement"
402,"1",7953030,7955203,"FocusRegion"
403,"1",7955204,7980546,"FocusComplement"
404,"1",7980547,7983309,"FocusRegion"
405,"1",7983310,7988606,"FocusComplement"
406,"1",7988607,7990762,"FocusRegion"
407,"1",7990763,7990944,"FocusComplement"
408,"1",7990945,7991778,"FocusRegion"
409,"1",7991779,7995659,"FocusComplement"
410,"1",7995660,8000444,"FocusRegion"
411,"1",8000445,8031914,"FocusComplement"
412,"1",8031915,8033230,"FocusRegion"
413,"1",8033231,8044268,"FocusComplement"
414,"1",8044269,8046992,"FocusRegion"
415,"1",8046993,8050049,"FocusComplement"
416,"1",8050050,8053834,"FocusRegion"
417,"1",8053835,8055024,"FocusComplement"
418,"1",8055025,8058183,"FocusRegion"
419,"1",8058184,8064329,"FocusComplement"
420,"1",8064330,8065482,"FocusRegion"
421,"1",8065483,8087642,"FocusComplement"
422,"1",8087643,8099716,"FocusRegion"
423,"1",8099717,8216040,"FocusComplement"
424,"1",8216041,8220640,"FocusRegion"
425,"1",8220641,8222269,"FocusComplement"
426,"1",8222270,8226801,"FocusRegion"
427,"1",8226802,8237798,"FocusComplement"
428,"1",8237799,8243846,"FocusRegion"
429,"1",8243847,8244439,"FocusComplement"
430,"1",8244440,8248023,"FocusRegion"
431,"1",8248024,8298051,"FocusComplement"
432,"1",8298052,8307439,"FocusRegion"
433,"1",8307440,8307487,"FocusComplement"
434,"1",8307488,8311889,"FocusRegion"
435,"1",8311890,8421232,"FocusComplement"
436,"1",8421233,8424781,"FocusRegion"
437,"1",8424782,8431969,"FocusComplement"
438,"1",8431970,8434160,"FocusRegion"
439,"1",8434161,8488012,"FocusComplement"
440,"1",8488013,8492319,"FocusRegion"
441,"1",8492320,8507768,"FocusComplement"
442,"1",8507769,8513447,"FocusRegion"
443,"1",8513448,8532020,"FocusComplement"
444,"1",8532021,8535132,"FocusRegion"
445,"1",8535133,8597479,"FocusComplement"
446,"1",8597480,8600656,"FocusRegion"
447,"1",8600657,8602408,"FocusComplement"
448,"1",8602409,8607605,"FocusRegion"
449,"1",8607606,8611598,"FocusComplement"
450,"1",8611599,8612643,"FocusRegion"
451,"1",8612644,8613268,"FocusComplement"
452,"1",8613269,8616306,"FocusRegion"
453,"1",8616307,8636708,"FocusComplement"
454,"1",8636709,8642534,"FocusRegion"
455,"1",8642535,8709368,"FocusComplement"
456,"1",8709369,8711596,"FocusRegion"
457,"1",8711597,8727545,"FocusComplement"
458,"1",8727546,8729506,"FocusRegion"
459,"1",8729507,8729701,"FocusComplement"
460,"1",8729702,8730680,"FocusRegion"
461,"1",8730681,8914926,"FocusComplement"
462,"1",8914927,8919509,"FocusRegion"
463,"1",8919510,8944149,"FocusComplement"
464,"1",8944150,8949254,"FocusRegion"
465,"1",8949255,8950875,"FocusComplement"
466,"1",8950876,8952733,"FocusRegion"
467,"1",8952734,9015571,"FocusComplement"
468,"1",9015572,9035686,"FocusRegion"
469,"1",9035687,9043694,"FocusComplement"
470,"1",9043695,9047104,"FocusRegion"
471,"1",9047105,9048594,"FocusComplement"
472,"1",9048595,9051295,"FocusRegion"
473,"1",9051296,9055140,"FocusComplement"
474,"1",9055141,9058547,"FocusRegion"
475,"1",9058548,9096080,"FocusComplement"
476,"1",9096081,9099284,"FocusRegion"
477,"1",9099285,9164433,"FocusComplement"
478,"1",9164434,9168992,"FocusRegion"
479,"1",9168993,9192132,"FocusComplement"
480,"1",9192133,9193586,"FocusRegion"
481,"1",9193587,9277278,"FocusComplement"
482,"1",9277279,9280548,"FocusRegion"
483,"1",9280549,9282196,"FocusComplement"
484,"1",9282197,9289488,"FocusRegion"
485,"1",9289489,9340659,"FocusComplement"
486,"1",9340660,9347192,"FocusRegion"
487,"1",9347193,9386887,"FocusComplement"
488,"1",9386888,9389574,"FocusRegion"
489,"1",9389575,9412265,"FocusComplement"
490,"1",9412266,9419447,"FocusRegion"
491,"1",9419448,9423680,"FocusComplement"
492,"1",9423681,9428283,"FocusRegion"
493,"1",9428284,9483546,"FocusComplement"
494,"1",9483547,9565925,"FocusRegion"
495,"1",9565926,9572975,"FocusComplement"
496,"1",9572976,9579961,"FocusRegion"
497,"1",9579962,9666327,"FocusComplement"
498,"1",9666328,9668547,"FocusRegion"
499,"1",9668548,9681996,"FocusComplement"
500,"1",9681997,9684249,"FocusRegion"
501,"1",9684250,9711152,"FocusComplement"
502,"1",9711153,9713316,"FocusRegion"
503,"1",9713317,9716959,"FocusComplement"
504,"1",9716960,9719094,"FocusRegion"
505,"1",9719095,9770695,"FocusComplement"
506,"1",9770696,9773193,"FocusRegion"
507,"1",9773194,9816089,"FocusComplement"
508,"1",9816090,9819649,"FocusRegion"
509,"1",9819650,9922121,"FocusComplement"
510,"1",9922122,9932704,"FocusRegion"
511,"1",9932705,9963641,"FocusComplement"
512,"1",9963642,9966321,"FocusRegion"
513,"1",9966322,9997480,"FocusComplement"
514,"1",9997481,10000557,"FocusRegion"
515,"1",10000558,10041311,"FocusComplement"
516,"1",10041312,10045344,"FocusRegion"
517,"1",10045345,10086537,"FocusComplement"
518,"1",10086538,10088673,"FocusRegion"
519,"1",10088674,10193331,"FocusComplement"
520,"1",10193332,10194462,"FocusRegion"
521,"1",10194463,10197231,"FocusComplement"
522,"1",10197232,10201491,"FocusRegion"
523,"1",10201492,10284766,"FocusComplement"
524,"1",10284767,10294120,"FocusRegion"
525,"1",10294121,10427629,"FocusComplement"
526,"1",10427630,10507897,"FocusRegion"
527,"1",10507898,10511452,"FocusComplement"
528,"1",10511453,10512069,"FocusRegion"
529,"1",10512070,10549978,"FocusComplement"
530,"1",10549979,10558095,"FocusRegion"
531,"1",10558096,10616564,"FocusComplement"
532,"1",10616565,10622381,"FocusRegion"
533,"1",10622382,10622439,"FocusComplement"
534,"1",10622440,10625585,"FocusRegion"
535,"1",10625586,10672310,"FocusComplement"
536,"1",10672311,10674525,"FocusRegion"
537,"1",10674526,10675980,"FocusComplement"
538,"1",10675981,10677669,"FocusRegion"
539,"1",10677670,10679226,"FocusComplement"
540,"1",10679227,10681893,"FocusRegion"
541,"1",10681894,10774522,"FocusComplement"
542,"1",10774523,10779546,"FocusRegion"
543,"1",10779547,10795527,"FocusComplement"
544,"1",10795528,10798665,"FocusRegion"
545,"1",10798666,10907216,"FocusComplement"
546,"1",10907217,10908561,"FocusRegion"
547,"1",10908562,10913207,"FocusComplement"
548,"1",10913208,10914536,"FocusRegion"
549,"1",10914537,10931610,"FocusComplement"
550,"1",10931611,10936195,"FocusRegion"
551,"1",10936196,10986205,"FocusComplement"
552,"1",10986206,10988709,"FocusRegion"
553,"1",10988710,11046928,"FocusComplement"
554,"1",11046929,11051293,"FocusRegion"
555,"1",11051294,11064106,"FocusComplement"
556,"1",11064107,11065807,"FocusRegion"
557,"1",11065808,11075804,"FocusComplement"
558,"1",11075805,11076645,"FocusRegion"
559,"1",11076646,11078504,"FocusComplement"
560,"1",11078505,11085350,"FocusRegion"
561,"1",11085351,11194544,"FocusComplement"
562,"1",11194545,11198830,"FocusRegion"
563,"1",11198831,11199761,"FocusComplement"
564,"1",11199762,11200076,"FocusRegion"
565,"1",11200077,11254073,"FocusComplement"
566,"1",11254074,11260817,"FocusRegion"
567,"1",11260818,11304259,"FocusComplement"
568,"1",11304260,11306258,"FocusRegion"
569,"1",11306259,11327286,"FocusComplement"
570,"1",11327287,11334068,"FocusRegion"
571,"1",11334069,11387154,"FocusComplement"
572,"1",11387155,11387466,"FocusRegion"
573,"1",11387467,11388591,"FocusComplement"
574,"1",11388592,11390370,"FocusRegion"
575,"1",11390371,11479202,"FocusComplement"
576,"1",11479203,11485535,"FocusRegion"
577,"1",11485536,11486188,"FocusComplement"
578,"1",11486189,11491069,"FocusRegion"
579,"1",11491070,11559723,"FocusComplement"
580,"1",11559724,11562557,"FocusRegion"
581,"1",11562558,11566532,"FocusComplement"
582,"1",11566533,11573834,"FocusRegion"
583,"1",11573835,11611293,"FocusComplement"
584,"1",11611294,11613230,"FocusRegion"
585,"1",11613231,11615309,"FocusComplement"
586,"1",11615310,11620571,"FocusRegion"
587,"1",11620572,11664917,"FocusComplement"
588,"1",11664918,11673254,"FocusRegion"
589,"1",11673255,11678347,"FocusComplement"
590,"1",11678348,11693101,"FocusRegion"
591,"1",11693102,11776625,"FocusComplement"
592,"1",11776626,11783053,"FocusRegion"
593,"1",11783054,11847884,"FocusComplement"
594,"1",11847885,11880702,"FocusRegion"
595,"1",11880703,11938115,"FocusComplement"
596,"1",11938116,11939457,"FocusRegion"
597,"1",11939458,11969616,"FocusComplement"
598,"1",11969617,11970074,"FocusRegion"
599,"1",11970075,11999338,"FocusComplement"
600,"1",11999339,12034402,"FocusRegion"
601,"1",12034403,12034630,"FocusComplement"
602,"1",12034631,12035191,"FocusRegion"
603,"1",12035192,12036471,"FocusComplement"
604,"1",12036472,12042381,"FocusRegion"
605,"1",12042382,12066477,"FocusComplement"
606,"1",12066478,12078408,"FocusRegion"
607,"1",12078409,12184200,"FocusComplement"
608,"1",12184201,12192434,"FocusRegion"
609,"1",12192435,12225832,"FocusComplement"
610,"1",12225833,12228039,"FocusRegion"
611,"1",12228040,12231187,"FocusComplement"
612,"1",12231188,12237894,"FocusRegion"
613,"1",12237895,12250195,"FocusComplement"
614,"1",12250196,12255463,"FocusRegion"
615,"1",12255464,12259825,"FocusComplement"
616,"1",12259826,12274137,"FocusRegion"
617,"1",12274138,12295516,"FocusComplement"
618,"1",12295517,12296916,"FocusRegion"
619,"1",12296917,12338112,"FocusComplement"
620,"1",12338113,12339599,"FocusRegion"
621,"1",12339600,12339918,"FocusComplement"
622,"1",12339919,12341874,"FocusRegion"
623,"1",12341875,12343655,"FocusComplement"
624,"1",12343656,12345162,"FocusRegion"
625,"1",12345163,12398255,"FocusComplement"
626,"1",12398256,12406197,"FocusRegion"
627,"1",12406198,12406624,"FocusComplement"
628,"1",12406625,12427547,"FocusRegion"
629,"1",12427548,12428362,"FocusComplement"
630,"1",12428363,12428656,"FocusRegion"
631,"1",12428657,12434129,"FocusComplement"
632,"1",12434130,12438763,"FocusRegion"
633,"1",12438764,12441875,"FocusComplement"
634,"1",12441876,12448043,"FocusRegion"
635,"1",12448044,12516662,"FocusComplement"
636,"1",12516663,12520623,"FocusRegion"
