pheno	geno	intercept	gsEffect	r2	pval
earmass_BLUP.Hung_2012_1_nam	genomesize	-260.512981052414	1.77962696049688e-07	0.0111910769153527	1.03087755921142e-12
cobmass_BLUP.Hung_2012_1_nam	genomesize	-106.610960481516	6.59813083647729e-08	0.018151668698977	9.29497641382613e-20
totalkernelweight_BLUP.Hung_2012_1_nam	genomesize	-167.588116083805	1.19325594535682e-07	0.00762435681529524	4.18281058795271e-09
weight20kernels_BLUP.Hung_2012_1_nam	genomesize	-6.01826533037797	5.56013714115994e-09	0.00513289532328369	1.46292985646259e-06
totalkernelno_BLUP.Hung_2012_1_nam	genomesize	4.99005373929406	1.36779012686589e-07	0.000428349972465505	0.165190160952592
nodenumberbelowear_BLUP.Hung_2012_1_nam	genomesize	-78.2599437273009	4.68322157216977e-08	0.143584504067381	3.48284663909234e-153
nodenumberaboveear_BLUP.Hung_2012_1_nam	genomesize	-21.8139698715411	1.47796501121138e-08	0.0452616139636438	7.06490460128916e-47
numbraceroots_BLUP.Hung_2012_1_nam	genomesize	-9.84472061876439	6.24843526483297e-09	0.0250850009936145	1.33358666992151e-26
DTA_BLUP.Wallace_2014_nam	genomesize	-318.46575271326	2.12719173907945e-07	0.153546722053518	1.80196351668074e-163
chlorophylla_BLUP.Wallace_2014_nam	genomesize	432.816233131498	-2.05490104213005e-07	0.017896051475589	5.09958009514703e-18
chlorophyllb_BLUP.Wallace_2014_nam	genomesize	44.6702300450793	-8.98801740622605e-09	0.00135595219751108	0.0177206437384206
malate_BLUP.Wallace_2014_nam	genomesize	4.37937886357459	-2.2268576062339e-09	0.0461574049966707	1.67640785650828e-44
fumarate_BLUP.Wallace_2014_nam	genomesize	1.64789578160351	-8.99323524643875e-10	0.031729289376894	6.57112854241311e-31
fumarate2_BLUP.Wallace_2014_nam	genomesize	1.72436430562588	-8.93123709337712e-10	0.0308695222039098	4.19155896979567e-30
glutamate_BLUP.Wallace_2014_nam	genomesize	2.21952173438005	-1.15705757327812e-09	0.0270708922542249	1.48420804173388e-26
aminoacids_BLUP.Wallace_2014_nam	genomesize	-4.71814774478799	3.5302121550448e-09	0.00173625145538433	0.00728163527628566
protein_BLUP.Wallace_2014_nam	genomesize	2.44275304371255	-7.30275936488582e-10	0.00507003907315407	4.43679557838206e-06
nitrate_BLUP.Wallace_2014_nam	genomesize	0.434629948773067	-2.08737105626577e-10	0.0249115596353664	1.52985711859226e-24
starch_BLUP.Wallace_2014_nam	genomesize	11.98616702031	-5.97464660372304e-09	0.0240625532854729	9.44910097953924e-24
sucrose_BLUP.Wallace_2014_nam	genomesize	39.2743268805496	-1.97653710251309e-08	0.0752270185360406	1.82599374584085e-72
glucose_BLUP.Wallace_2014_nam	genomesize	5.54859851093989	-2.50725460448884e-09	0.00317565095859062	0.000282586327767624
fructose_BLUP.Wallace_2014_nam	genomesize	8.73746546050236	-4.29254241624805e-09	0.0302142431678838	1.71927516972609e-29
principal_component_metabolies1.Wallace_2014_nam	genomesize	23.5031955176194	-1.26401253863942e-08	0.00239909650545076	0.00161462883542613
principal_component_metabolies2.Wallace_2014_nam	genomesize	53.1370107176508	-2.85606219416074e-08	0.0157761754330769	4.92514877771589e-16
GDD_DTS_BLUP.Peiffer_2014_nam	genomesize	-4898.10973526255	3.12778344342871e-06	0.143894135071644	1.72433589814364e-152
GDD_DTA_BLUP.Peiffer_2014_nam	genomesize	-4714.63381528115	3.01671251115871e-06	0.148689940202297	6.25600554377035e-158
GDD_ASI_BLUP.Peiffer_2014_nam	genomesize	-105.224289072044	6.90151621572607e-08	0.0013543999289259	0.0140177337335739
DTS_BLUP.Peiffer_2014_nam	genomesize	-316.459699666998	2.13072264439944e-07	0.13697944686953	1.06580286977611e-144
DTA_BLUP.Peiffer_2014_nam	genomesize	-297.551614351807	2.01400405219766e-07	0.144087457457359	1.04208528608841e-152
ASI_BLUP.Peiffer_2014_nam	genomesize	-12.0344266711867	7.39291694265877e-09	0.00265450690050297	0.000580476750345697
plant_height_BLUP.Peiffer_2014_nam	genomesize	-641.502339247251	4.36071955251396e-07	0.0283128273057708	1.17412397507359e-29
ear_height_BLUP.Peiffer_2014_nam	genomesize	-1034.17410017317	6.03031703813263e-07	0.0747815944221939	2.92025582881365e-77
plant_height_minus_ear_height_BLUP.Peiffer_2014_nam	genomesize	407.434261557228	-1.74841567175907e-07	0.0182219236135522	1.4316200811041e-19
ear_height_div_plant_height_BLUP.Peiffer_2014_nam	genomesize	-4.02009247958184	2.43762284079654e-09	0.0980190552363448	6.39027963191806e-102
plant_height_div_DTA_BLUP.Peiffer_2014_nam	genomesize	3.25440321189513	-5.46782614846842e-10	0.000321448066573415	0.231471046324885
GDD_DTA_long_BLUP.Hung_2012_nam	genomesize	-4283.66260857437	2.79567797079384e-06	0.132538549806456	8.45361148765387e-142
GDD_DTA_short_BLUP.Hung_2012_nam	genomesize	-751.012706760756	8.88826912363903e-07	0.0311458032501249	7.6976816394865e-33
GDD_DTA_photo_resp_BLUP.Hung_2012_nam	genomesize	-3486.93237312711	1.88238183423717e-06	0.135074431124048	4.13892088524091e-144
GDD_DTS_long_BLUP.Hung_2012_nam	genomesize	-4391.19296179345	2.86497883925835e-06	0.126699336278429	3.33426493667247e-135
GDD_DTS_short_BLUP.Hung_2012_nam	genomesize	-1133.12100840646	1.1060794245283e-06	0.038048948817604	5.09918368642294e-40
GDD_DTS_photo_resp_BLUP.Hung_2012_nam	genomesize	-3257.43248973406	1.75855880148806e-06	0.116065186998064	2.82492272483042e-123
GDD_DTA_NC06_BLUP.Hung_2012_nam	genomesize	-3486.15964999531	2.35961761777175e-06	0.0921419137044048	2.42677281574353e-96
GDD_DTS_NC06_BLUP.Hung_2012_nam	genomesize	-3474.54483609253	2.36738442507213e-06	0.0812444767015017	1.47829033158978e-84
GDD_DTA_MO06_BLUP.Hung_2012_nam	genomesize	-1880.65138928417	1.5181623896684e-06	0.053061058293378	9.97008491608856e-34
GDD_DTS_MO06_BLUP.Hung_2012_nam	genomesize	-2465.38993146661	1.84680637043349e-06	0.0703303708944549	1.30504008479842e-44
GDD_DTA_NY06_BLUP.Hung_2012_nam	genomesize	-2795.59334673993	1.99056109160933e-06	0.13485976601887	4.03084440382929e-129
GDD_DTS_NY06_BLUP.Hung_2012_nam	genomesize	-2094.59165862342	1.62172664784167e-06	0.130722230043947	1.16089355667091e-119
GDD_DTA_IL06_BLUP.Hung_2012_nam	genomesize	-3615.59563178527	2.45231473663202e-06	0.090298385218425	8.92679940633519e-91
GDD_DTS_IL06_BLUP.Hung_2012_nam	genomesize	-3805.75922371478	2.56758750679267e-06	0.0956991294556901	4.40843800612158e-93
GDD_DTA_FL06_BLUP.Hung_2012_nam	genomesize	-161.336156168647	5.68735184117439e-07	0.0218000508440154	2.92654287843967e-22
GDD_DTS_FL06_BLUP.Hung_2012_nam	genomesize	-497.594091387984	7.60947474167305e-07	0.028423340915996	6.10254022260348e-29
GDD_DTA_PR06_BLUP.Hung_2012_nam	genomesize	-1064.60490858303	1.09695005710945e-06	0.0283442169674002	1.05510698454528e-25
GDD_DTS_PR06_BLUP.Hung_2012_nam	genomesize	-1622.34460156206	1.40265025348678e-06	0.0447667918686337	7.47150361280986e-46
GDD_DTA_NC07_BLUP.Hung_2012_nam	genomesize	-3479.99689228057	2.35903473806589e-06	0.110983889824374	2.78625487180004e-117
GDD_DTS_NC07_BLUP.Hung_2012_nam	genomesize	-3340.94575119169	2.29490998106886e-06	0.0914775296837513	5.04432350481147e-96
GDD_DTA_MO07_BLUP.Hung_2012_nam	genomesize	-4146.08009483966	2.70149352526077e-06	0.11040008455867	1.13225627565192e-62
GDD_DTS_MO07_BLUP.Hung_2012_nam	genomesize	-4247.59269685096	2.76846365782683e-06	0.0937888506495582	3.91329036078377e-53
GDD_DTA_NY07_BLUP.Hung_2012_nam	genomesize	-2224.40720771626	1.64158477376397e-06	0.138633354391449	1.47840085383352e-146
GDD_DTS_NY07_BLUP.Hung_2012_nam	genomesize	-2191.96456337335	1.64233257417862e-06	0.139282590270577	8.48782462694516e-147
GDD_DTA_IL07_BLUP.Hung_2012_nam	genomesize	-2577.48761457233	1.87924742488569e-06	0.125331385955426	5.27394341634384e-132
GDD_DTS_IL07_BLUP.Hung_2012_nam	genomesize	-2816.88555828583	2.01868925044349e-06	0.124881225962101	2.3267374855448e-131
GDD_DTA_FL07_BLUP.Hung_2012_nam	genomesize	550.723186773416	1.95386219209655e-07	0.00163278725604327	0.0244142631342416
GDD_DTS_FL07_BLUP.Hung_2012_nam	genomesize	-34.0057984097979	5.19003070530026e-07	0.00872961301632913	2.20666522119941e-07
sqrt_diseased_leaf_area1_BLUP.Poland_2011_nam	genomesize	59.8437914726667	-3.04238510970297e-08	0.0474811669163039	2.86153529265224e-45
sqrt_diseased_leaf_area2_BLUP.Poland_2011_nam	genomesize	76.473560192203	-3.8960595750196e-08	0.0513617158909015	6.39878328872923e-49
sqrt_diseased_leaf_area3_BLUP.Poland_2011_nam	genomesize	83.3102788550358	-4.19897034938734e-08	0.0575536425280303	8.970264103253e-55
diseased_leaf_area1_BLUP.Poland_2011_nam	genomesize	394.384465012346	-2.05823286026512e-07	0.0452162017708718	3.81154151830918e-43
diseased_leaf_area2_BLUP.Poland_2011_nam	genomesize	623.616307537689	-3.25867446652596e-07	0.0510987905500604	1.1320468177578e-48
diseased_leaf_area3_BLUP.Poland_2011_nam	genomesize	858.72308239417	-4.46281211576777e-07	0.0582950641938543	1.77640860995297e-55
northern_leaf_blight_index_BLUP.Poland_2011_nam	genomesize	73.2092101719881	-3.71247167796557e-08	0.0528980080624009	2.27571728333238e-50
tassel_length_BLUP.Brown_2011_nam	genomesize	-194.359432995307	2.79918557981968e-07	0.00264052337145995	0.000600275043103709
spike_length_BLUP.Brown_2011_nam	genomesize	199.463637285141	1.75800669257953e-08	1.43315719463724e-05	0.800547726428356
branch_zone_BLUP.Brown_2011_nam	genomesize	-393.823070280449	2.62338491056173e-07	0.00755920534093987	6.13050666370104e-09
branch_number_transformed_BLUP.Brown_2011_nam	genomesize	-93.368599865771	6.07509054989209e-08	0.0206759853575942	5.10987198116888e-22
cob_length_BLUP.Brown_2011_nam	genomesize	10.0190436971178	6.38719384990604e-08	0.00104288784571333	0.0311092342795462
cob_diameter_BLUP.Brown_2011_nam	genomesize	-7.14787377076431	1.78938217841735e-08	0.0031928286173693	0.000160741693483224
ear_row_number_transformed_BLUP.Brown_2011_nam	genomesize	73.1894721653121	-2.61465293429255e-08	0.0139930716643597	2.33697641436031e-15
southern_leaf_blight_BLUP.Bian_2014_Kump_2011_nam	genomesize	-91.5312439187178	5.2590087664422e-08	0.153483014386065	1.20875560540659e-165
starch_kernel_BLUP.Cook_2012_nam	genomesize	79.1260677947067	-6.18778563054372e-09	0.000560384713007837	0.111739523016442
protein_kernel_BLUP.Cook_2012_nam	genomesize	-10.6742389357448	1.30862988346937e-08	0.0101046556087924	1.29025928172612e-11
oil_kernel_BLUP.Cook_2012_nam	genomesize	12.1564953781729	-4.23537157575184e-09	0.00197032648648655	0.00285191085194258
lesion_severity_BLUP.Olukolu_2014_nam	genomesize	36.3530841279932	-1.66070583528186e-08	0.00492976139556887	8.48930859230736e-05
height_ratio_BLUP.Olukolu_2014_nam	genomesize	-0.096118316702861	4.23683034930018e-10	0.000354000373240636	0.292739779857841
stalk_width_ratio_BLUP.Olukolu_2014_nam	genomesize	0.605868857963195	-4.81450163583457e-11	8.56195738344575e-06	0.87003614468337
DTA_ratio_BLUP.Olukolu_2014_nam	genomesize	0.673997777252396	1.49077479145695e-10	0.000977942367442894	0.0799517704049763
glsblup.Benson_2015_nam	genomesize	762.937841022693	-3.8193287456442e-07	0.118315046364285	2.84800353488015e-92
alphaT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-5.48371071011649	4.21564123669989e-09	0.00695153424403892	2.64059996295356e-08
deltaT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	0.514289192972752	2.28233996919221e-10	0.00723816698959309	1.70227970645464e-08
gammaT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	16.4713341529118	-5.32204168313226e-09	0.000645245214735206	0.0904618090285899
TotalT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	11.6859716135266	-2.4092766080319e-09	0.000122892568353374	0.460013882396276
alphaT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	5.34806896928542	-8.8664645665794e-10	0.000275459510878064	0.268974584637945
deltaT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-0.906518398480046	9.25341385645852e-10	0.00258648386154888	0.000788939114185907
gammaT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	15.8512197479481	-5.99522041634482e-09	0.00292935934303251	0.000315334432159362
TotalT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	20.1763603370307	-7.47417370967848e-09	0.00230916842176275	0.00139313612740111
TotalT_plus_T3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	7.24301110189715	-1.84871991169251e-09	0.00123472615761503	0.0193032296753735
plastochromanol8_transformed_BLUE.Diepenbrock_2017_nam	genomesize	2.36111064094594	-7.16907309707049e-10	0.00160998504551468	0.00748939097711241
alphaT_div_gammaT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-1.65030026268246	1.09158906773978e-09	0.00361581661261646	6.12566581287508e-05
alphaT3_div_gammaT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-1.72361787663053	1.36191209826674e-09	0.00318540550327598	0.000174193867607794
gammaT_div_gammaTPlusalphaT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	1.709186485299	-5.2672513095673e-10	0.00441091963042713	9.52949382075945e-06
gammaT3_div_gammaT3PlusalphaT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	1.19763415745833	-3.4451004316024e-10	0.00271178611054192	0.000534044187833812
deltaT_div_gammaTPlusalphaT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	0.0465250551842084	3.37452119055786e-11	0.000106416267502287	0.495242173190234
deltaT_div_alphaT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	1.68724833387417	-6.87613000309579e-10	0.00379609097908801	4.54269458028644e-05
deltaT_div_gammaT_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-0.246871229533868	2.15058787300494e-10	0.000797023461813433	0.0617568461454805
deltaT3_div_gammaT3PlusalphaT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-0.381366653715987	2.58660544981519e-10	0.005237365143888	1.82449663236119e-06
deltaT3_div_alphaT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-0.281832106310267	2.71674675444763e-10	0.00156246446732056	0.00915738331636031
deltaT3_div_gammaT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-1.11858208316804	6.99931262252319e-10	0.00612900584146714	2.37977579943725e-07
TotalT_div_totalT3_transformed_BLUE.Diepenbrock_2017_nam	genomesize	-2.01827466532108	1.71927893083346e-09	0.00121630993940037	0.0204261407462932
leaf_length_BLUP.Tian_2011_nam	genomesize	-3594.80041784879	2.34224921222871e-06	0.0654984539995659	1.51104087129998e-67
leaf_width_BLUP.Tian_2011_nam	genomesize	-602.652345398748	3.72856656759245e-07	0.0707267155916566	5.48148609906198e-73
upper_leaf_angle_BLUP.Tian_2011_nam	genomesize	-158.629399542131	1.21538233817136e-07	0.012539555896447	6.81004461196189e-14
leaf_angle_boxcox_transformed_BLUP.Tian_2011_nam	genomesize	-101945094.663289	0.0611527588045537	0.00859421878077308	5.79882862870956e-10
flecking_ls_mean.Olukolu_2016_nam	genomesize	-19.2159238036486	1.09096577625548e-08	0.00989525403490246	1.99650146502604e-11
flecking_poisson_transformation_BLUP.Olukolu_2016_nam	genomesize	-1.57749178783644	8.49536235618324e-10	0.000211657734937575	0.327808687308047
last_leaf_with_epicuticular_wax.Foerster_2015_nam	genomesize	57.9277695662768	-2.70354343076128e-08	0.0257344393316489	2.09362936704564e-23
DTA_BLUP.Buckler_2009_nam	tebp	-8.87033961456613	5.41013814488141e-08	0.0246601730433817	2.21421221773189e-26
DTS_BLUP.Buckler_2009_nam	tebp	-17.492539366558	6.06577989387428e-08	0.0256498093448257	2.18544346455864e-27
ASI_BLUP.Buckler_2009_nam	tebp	-3.44987888150178	3.26982410938967e-09	0.00127369206618168	0.0163464522136799
ALL_rind_penetrometer_resistance_BLUE.Peiffer_2013_nam	tebp	6.42388016611527	-7.34714270376247e-10	0.000134452796918401	0.507629356961878
ALL_rind_penetrometer_resistance_BLUP.Peiffer_2013_nam	tebp	8.11037878293187	-1.78847733747094e-09	0.00391521435542619	0.000345453321194405
MO_rind_penetrometer_resistance_BLUE.Peiffer_2013_nam	tebp	24.5887515080629	-1.2688042365806e-08	0.0147691827310585	2.04470354891989e-15
MO_rind_penetrometer_resistance_BLUP.Peiffer_2013_nam	tebp	18.2558344146957	-8.26571945821226e-09	0.0211790211207977	1.69978349933722e-21
NY_rind_penetrometer_resistance_BLUE.Peiffer_2013_nam	tebp	13.8696157844394	-4.93184288741868e-09	0.00302891688801871	0.000304980135916231
NY_rind_penetrometer_resistance_BLUP.Peiffer_2013_nam	tebp	10.2574819260579	-2.65022580474066e-09	0.00281037653124788	0.000504918820720638
WI_rind_penetrometer_resistance_BLUE.Peiffer_2013_nam	tebp	6.67646166940425	-3.62483085700512e-10	7.82893235194023e-06	0.872888964578191
WI_rind_penetrometer_resistance_BLUP.Peiffer_2013_nam	tebp	7.44712160647501	-5.35678847149674e-10	0.000380882642259602	0.264407361414891
ALL_DTA_BLUE.Peiffer_2013_nam	tebp	43.9551168941152	2.02067961519866e-08	0.00494681715162103	5.73272184644268e-05
ALL_DTA_BLUP.Peiffer_2013_nam	tebp	45.3350288016478	1.93565201146587e-08	0.00477118415970145	7.77263508184183e-05
ALL_ear_height_BLUE.Peiffer_2013_nam	tebp	122.16630054441	-2.28046053025083e-08	0.000260177366916666	0.356705277100964
ALL_ear_height_BLUP.Peiffer_2013_nam	tebp	121.713219276373	-2.25355975998263e-08	0.000267800174395164	0.349753642663656
DTS_BLUP.Hung_2012_1_nam	tebp	-18.5957434387871	6.13533860580864e-08	0.026281674579886	5.18272183186593e-28
DTA_BLUP.Hung_2012_1_nam	tebp	-9.09432208350346	5.4250152386629e-08	0.0250068771559762	1.02237910683557e-26
asi_BLUP.Hung_2012_1_nam	tebp	-2.74838833116803	2.81980357241254e-09	0.00101749267468972	0.0319362212033709
plantheight_BLUP.Hung_2012_1_nam	tebp	118.227512423285	2.59053711094692e-08	0.000303951277705049	0.241088044096601
earheight_BLUP.Hung_2012_1_nam	tebp	17.4482307004169	3.96030765352343e-08	0.00108110188938454	0.0270163662078282
leaflength_BLUP.Hung_2012_1_nam	tebp	-404.352979277424	7.33434029112617e-07	0.0156779523447781	2.89047792457654e-17
leafwidth_BLUP.Hung_2012_1_nam	tebp	-35.7389681301541	7.96068239123577e-08	0.00794623258164784	1.91683453231993e-09
tassprimbranchno_BLUP.Hung_2012_1_nam	tebp	-8.54751194121813	1.13677286282519e-08	0.00152651712895684	0.00860590411792278
tasslength_BLUP.Hung_2012_1_nam	tebp	283.518568876102	2.69002654868529e-08	6.21915133341699e-05	0.595992069641639
upperleafangle_BLUP.Hung_2012_1_nam	tebp	173.847873731878	-6.69464513442462e-08	0.00938582996121554	6.77848979043968e-11
cobdiam_BLUP.Hung_2012_1_nam	tebp	15.1423140195643	7.12158531676304e-09	0.0013637272651148	0.0130716727296727
coblength_BLUP.Hung_2012_1_nam	tebp	132.462206276899	-2.75921764132672e-09	5.68949923192082e-06	0.872629290738678
earrowno_BLUP.Hung_2012_1_nam	tebp	38.3933644164887	-1.49790141947645e-08	0.0123172015217849	7.42883501302335e-14
kernelnoperrow_BLUP.Hung_2012_1_nam	tebp	35.8794069881997	-8.35585705059756e-09	0.00135505817716159	0.0133953385398309
earmass_BLUP.Hung_2012_1_nam	tebp	81.9431083666092	-7.20527398291239e-09	4.15840938089811e-05	0.664877958792853
cobmass_BLUP.Hung_2012_1_nam	tebp	7.7522930753827	5.25701479281488e-09	0.00026154095434254	0.277017131521706
totalkernelweight_BLUP.Hung_2012_1_nam	tebp	69.1278624323453	-9.29448019752356e-09	0.000104934098066023	0.491363110360201
weight20kernels_BLUP.Hung_2012_1_nam	tebp	1.24094995493366	1.93879725754679e-09	0.00141414658889687	0.011549297601061
totalkernelno_BLUP.Hung_2012_1_nam	tebp	661.725093762186	-2.53067254923289e-07	0.00332069429501054	0.000110221342519044
nodenumberbelowear_BLUP.Hung_2012_1_nam	tebp	-6.34635199175027	9.5549501664455e-09	0.0136224869377573	4.40507404283049e-15
nodenumberaboveear_BLUP.Hung_2012_1_nam	tebp	-3.90078262589032	6.02315393478095e-09	0.0170377373026958	1.9867619564452e-18
numbraceroots_BLUP.Hung_2012_1_nam	tebp	1.7849150110456	-5.10000246840378e-12	3.79282914203172e-08	0.989593257157909
DTA_BLUP.Wallace_2014_nam	tebp	-14.0764216630317	5.73874713263109e-08	0.026908587040743	3.00120708442647e-28
chlorophylla_BLUP.Wallace_2014_nam	tebp	217.304083000076	-1.04833672969098e-07	0.0113211897047818	6.44843095740348e-12
chlorophyllb_BLUP.Wallace_2014_nam	tebp	18.1208589116576	6.18539015243968e-09	0.00156086677044424	0.0109459798631455
malate_BLUP.Wallace_2014_nam	tebp	1.45934106651305	-7.68352963621755e-10	0.0133565132439594	8.31785482643801e-14
fumarate_BLUP.Wallace_2014_nam	tebp	0.242694290567879	-1.68183564176567e-10	0.00269718421690688	0.000820807063173329
fumarate2_BLUP.Wallace_2014_nam	tebp	0.313448141995751	-1.57335956800291e-10	0.00232850786765069	0.00188143872982926
glutamate_BLUP.Wallace_2014_nam	tebp	0.466331942171334	-2.50805094367017e-10	0.00309157941716745	0.000340577742543151
aminoacids_BLUP.Wallace_2014_nam	tebp	0.8533486503855	6.25274266844574e-10	0.000132393660610825	0.458832226847504
protein_BLUP.Wallace_2014_nam	tebp	1.91004792761741	-5.19240759356409e-10	0.00623002725396699	3.59361302272123e-07
nitrate_BLUP.Wallace_2014_nam	tebp	0.108991997000814	-3.9360590181781e-11	0.00215297940465314	0.00280118747364621
starch_BLUP.Wallace_2014_nam	tebp	1.70126851394634	-5.20095819646635e-10	0.0004431992926126	0.175273999474917
sucrose_BLUP.Wallace_2014_nam	tebp	5.95897742853235	-2.16670640836515e-09	0.00219724816968397	0.00253312134483577
glucose_BLUP.Wallace_2014_nam	tebp	-2.47040404961344	2.11098528280507e-09	0.00547168851407592	1.85497297485954e-06
fructose_BLUP.Wallace_2014_nam	tebp	1.20529515094755	-2.83789376853452e-10	0.000320988790609959	0.248707108770103
principal_component_metabolies1.Wallace_2014_nam	tebp	14.2626118042038	-8.97471326160085e-09	0.00294248500573605	0.000478312210287656
principal_component_metabolies2.Wallace_2014_nam	tebp	-10.8311523318583	6.82535044349936e-09	0.00219201971727658	0.00257880045986055
GDD_DTS_BLUP.Peiffer_2014_nam	tebp	-513.119313062193	9.00865081208293e-07	0.0287421127798545	4.35622067680502e-30
GDD_DTA_BLUP.Peiffer_2014_nam	tebp	-395.870831049852	8.12582609122718e-07	0.0259763559529271	2.57599964438388e-27
GDD_ASI_BLUP.Peiffer_2014_nam	tebp	-60.4393261596442	5.25694851260825e-08	0.00189214661883935	0.00368136214859499
DTS_BLUP.Peiffer_2014_nam	tebp	-17.0931828996332	6.09601096457595e-08	0.026997433900305	2.44501224468521e-28
DTA_BLUP.Peiffer_2014_nam	tebp	-7.20989227962938	5.29821295308086e-08	0.0240100884666375	2.38899400874518e-25
ASI_BLUP.Peiffer_2014_nam	tebp	-5.3465698836796	4.44206133031989e-09	0.00230754802096239	0.0013385891747701
